Afghanistan,2019,,Both sexes,,,,,,,,
start age-x,interval-n,Age Group,nMx,nqx,"q(x,n)-estimated","p(x,n)",l(x),"d(x,n)","L(x,n)",T(x),e(x)
0,1,<1 year,0.047802516,0.04625475,,0.95374525,100000,4625.475049,96762.16747,6320990.125,63.20990125
1,4,1-4 years,0.003608564,0.014310323,,0.985689677,95375,1364.840223,378222.4833,6224227.958,65.26090652
5,5,5-9 years,0.000461381,0.002304247,,0.997695753,94010,216.6215711,469506.8697,5846005.474,62.18514072
10,5,10-14 years,0.00036963,0.001846443,,0.998153557,93793,173.1835637,468532.3569,5376498.605,57.32298769
15,5,15-19  years,0.001322929,0.006592842,,0.993407158,93620,617.2210349,466556.3454,4907966.248,52.42440248
20,5,20-24 years,0.002010636,0.010002899,,0.989997101,93003,930.2961754,462687.5524,4441409.902,47.75573055
25,5,25-29 years,0.002486303,0.012354723,,0.987645277,92072,1137.528506,457517.9906,3978722.35,43.21299299
30,5,30-34 years,0.003106713,0.015413848,,0.984586152,90935,1401.655736,451170.03,3521204.359,38.72228286
35,5,35-39 years,0.004371697,0.02162217,,0.97837783,89533,1935.901596,442826.1367,3070034.329,34.2893483
40,5,40-44 years,0.006482915,0.031897601,,0.968102399,87597,2794.142996,431001.0252,2627208.193,29.99189354
45,5,45-49 years,0.00944582,0.046139535,,0.953860465,84803,3912.777154,414233.7249,2196207.167,25.89771245
50,5,50-54 years,0.014107692,0.068135379,,0.931864621,80890,5511.495126,390673.0442,1781973.442,22.02949179
55,5,55-59 years,0.0208352,0.099018332,,0.900981668,75379,7463.889146,358234.5835,1391300.398,18.45743455
60,5,60-64 years,0.030681915,0.14248063,,0.85751937,67915,9676.567986,315383.4407,1033065.815,15.21116453
65,5,65-69 years,0.043881399,0.197716772,,0.802283228,58238,11514.70925,262405.2476,717682.3742,12.32318064
70,5,70-74 years,0.064737071,0.278596545,,0.721403455,46724,13017.05997,201075.8245,455277.1266,9.744030897
75,5,75-79 years,0.09499804,0.383831983,,0.616168017,33707,12937.68453,136188.9632,254201.3021,7.541580545
80,5,80-84 years,0.1405178,0.519937734,,0.480062266,20769,10798.561,76848.34943,118012.3389,5.682152283
85,INF,85+ years,0.235087206,1,,0,9970,9970.389384,41163.98943,41163.98943,4.128624053
,,,,,,,,,,,
,,,,,,,,,,,
Afghanistan,2019,,Male,,,,,,,,
start age-x,interval-n,Age Group,nMx,nqx,"q(x,n)-estimated","p(x,n)",l(x),"d(x,n)","L(x,n)",T(x),e(x)
0,1,<1 year,0.051325889,0.049545802,,,,,,,
1,4,1-4 years,0.003668017,0.014544032,,,,,,,
5,5,5-9 years,0.000468998,0.002342245,,,,,,,
10,5,10-14 years,0.000386565,0.001930958,,,,,,,
15,5,15-19  years,0.001457699,0.007262031,,,,,,,
20,5,20-24 years,0.002217876,0.011028232,,,,,,,
25,5,25-29 years,0.002549241,0.012665488,,,,,,,
30,5,30-34 years,0.003065215,0.015209525,,,,,,,
35,5,35-39 years,0.004081517,0.020201454,,,,,,,
40,5,40-44 years,0.006090681,0.029996654,,,,,,,
45,5,45-49 years,0.008832323,0.043207557,,,,,,,
50,5,50-54 years,0.013405175,0.064852479,,,,,,,
55,5,55-59 years,0.019765526,0.094174129,,,,,,,
60,5,60-64 years,0.030054532,0.139770796,,,,,,,
65,5,65-69 years,0.043554478,0.196388406,,,,,,,
70,5,70-74 years,0.063182849,0.272820332,,,,,,,
75,5,75-79 years,0.091218708,0.371397533,,,,,,,
80,5,80-84 years,0.135206867,0.505250869,,,,,,,
85,INF,85+ years,0.232569169,1,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Afghanistan,2019,Female,,,,,,,,,
start age-x,interval-n,Age Group,nMx,nqx,"q(x,n)-estimated","p(x,n)",l(x),"d(x,n)","L(x,n)",T(x),e(x)
0,1,<1 year,0.044104238,0.042783388,,,,,,,
1,4,1-4 years,0.003545957,0.014064138,,,,,,,
5,5,5-9 years,0.000453392,0.002264391,,,,,,,
10,5,10-14 years,0.000351927,0.00175809,,,,,,,
15,5,15-19  years,0.001180563,0.005885446,,,,,,,
20,5,20-24 years,0.001791408,0.008917104,,,,,,,
25,5,25-29 years,0.002418171,0.012018199,,,,,,,
30,5,30-34 years,0.003152507,0.015639276,,,,,,,
35,5,35-39 years,0.00468588,0.02315811,,,,,,,
40,5,40-44 years,0.006914381,0.033984449,,,,,,,
45,5,45-49 years,0.010105872,0.049284212,,,,,,,
50,5,50-54 years,0.014846655,0.071576594,,,,,,,
55,5,55-59 years,0.021944426,0.104015719,,,,,,,
60,5,60-64 years,0.031303057,0.145155739,,,,,,,
65,5,65-69 years,0.044185111,0.198949086,,,,,,,
70,5,70-74 years,0.066005129,0.283280697,,,,,,,
75,5,75-79 years,0.098262878,0.39442183,,,,,,,
80,5,80-84 years,0.144671015,0.531223477,,,,,,,
85,INF,85+ years,0.23689687,1,,,,,,,
